ho,type,area
401,54.52C,54.52
402,55.12D,55.12
403,56.27E,56.27
404,62.45H,62.45
405,56.99E2,56.99
406,55.17D1,55.17
407,55.17D3,55.17
408,56.99E2,56.99
409,54.77C1,54.77
410,55.48D4,55.48
411,56.99E2,56.99
412,55.17D1,55.17
413,55.17D3,55.17
414,58.79F,58.79
415,62.45H1,62.45
416,59.78G,59.78
417,56.88E1,56.88
418,53.04B1,53.04
419,53.04B,53.04
420,54.52C,54.52
421,50.46A,50.46
422,50.81A2,50.81
423,50.81A2,50.81
424,50.46A5,50.46
501,54.52C,54.52
502,55.12D,55.12
503,56.27E3,56.27
504,62.45H,62.45
505,56.99E2,56.99
506,55.17D1,55.17
507,55.17D3,55.17
508,56.99E2,56.99
509,54.77C1,54.77
510,55.48D4,55.48
511,56.99E2,56.99
512,55.17D3,55.17
513,55.17D1,55.17
514,58.79F,58.79
515,62.45H1,62.45
516,59.78G1,59.78
517,56.88E1,56.88
518,53.04B1,53.04
519,53.04B,53.04
520,54.52C,54.52
521,50.46A,50.46
522,50.81A2,50.81
523,50.81A2,50.81
524,50.46A5,50.46
601,54.52C,54.52
602,55.12D,55.12
603,56.27E3,56.27
604,62.45H,62.45
605,56.99E2,56.99
606,55.17D3,55.17
607,55.17D1,55.17
608,56.99E2,56.99
609,54.77C1,54.77
610,55.48D4,55.48
611,56.99E2,56.99
612,55.17D3,55.17
613,55.17D1,55.17
614,58.79F,58.79
615,62.45H1,62.45
616,59.78G,59.78
617,56.88E1,56.88
618,53.04B1,53.04
619,53.04B,53.04
620,54.52C,54.52
621,50.46A,50.46
622,50.81A2,50.81
623,50.81A2,50.81
624,50.46A5,50.46
701,54.52C,54.52
702,55.12D,55.12
703,56.27E3,56.27
704,62.45H,62.45
705,56.99E2,56.99
706,55.17D3,55.17
707,55.17D1,55.17
708,56.99E2,56.99
709,54.77C1,54.77
710,55.48D4,55.48
711,56.99E2,56.99
712,55.17D3,55.17
713,55.17D1,55.17
714,58.79F,58.79
715,62.45H,62.45
716,59.78G1,59.78
717,56.88E1,56.88
718,53.04B1,53.04
719,53.04B,53.04
720,54.52C,54.52
721,50.46A,50.46
722,50.81A2,50.81
723,50.81A3,50.81
724,50.46A5,50.46
801,54.52C,54.52
802,55.12D,55.12
803,56.27E3,56.27
804,62.45H,62.45
805,56.99E2,56.99
806,55.17D3,55.17
807,55.17D1,55.17
808,56.99E2,56.99
809,54.77C1,54.77
810,55.48D4,55.48
811,56.99E2,56.99
812,55.17D3,55.17
813,55.17D1,55.17
814,58.79F,58.79
815,62.45H,62.45
816,59.78G,59.78
817,56.88E1,56.88
818,53.04B1,53.04
819,53.04B,53.04
820,54.52C,54.52
821,50.46A,50.46
822,50.81A2,50.81
823,50.81A3,50.81
824,50.46A5,50.46
901,54.52C,54.52
902,55.12D,55.12
903,56.27E3,56.27
904,62.45H,62.45
905,56.99E2,56.99
906,55.17D3,55.17
907,55.17D1,55.17
908,56.99E2,56.99
909,54.77C1,54.77
910,55.48D4,55.48
911,56.99E2,56.99
912,55.17D3,55.17
913,55.17D1,55.17
914,58.79F,58.79
915,62.45H,62.45
916,59.78G1,59.78
917,56.88E1,56.88
918,53.04B1,53.04
919,53.04B,53.04
920,54.52C,54.52
921,50.46A,50.46
922,50.81A2,50.81
923,50.81A3,50.81
924,50.46A5,50.46
1001,54.52C,54.52
1002,55.12D,55.12
1003,56.27E,56.27
1004,62.45H,62.45
1005,56.99E2,56.99
1006,55.17D3,55.17
1007,55.17D1,55.17
1008,56.99E2,56.99
1009,54.77C1,54.77
1010,55.48D4,55.48
1011,56.99E2,56.99
1012,55.17D3,55.17
1013,55.17D1,55.17
1014,58.79F,58.79
1015,62.45H,62.45
1016,59.78G,59.78
1017,56.88E1,56.88
1018,53.04B1,53.04
1019,53.04B,53.04
1020,54.52C,54.52
1021,50.46A,50.46
1022,50.81A2,50.81
1023,50.81A3,50.81
1024,50.46A5,50.46
1101,54.52C,54.52
1102,55.12D,55.12
1103,56.27E,56.27
1104,62.45H,62.45
1105,56.99E2,56.99
1106,55.17D3,55.17
1107,55.17D1,55.17
1108,56.99E2,56.99
1109,54.77C1,54.77
1110,55.48D4,55.48
1111,56.99E2,56.99
1112,55.17D3,55.17
1113,55.17D1,55.17
1114,58.79F,58.79
1115,62.45H,62.45
1116,59.78G1,59.78
1117,56.88E1,56.88
1118,53.04B1,53.04
1119,53.04B,53.04
1120,54.52C,54.52
1121,50.46A,50.46
1122,50.81A2,50.81
1123,50.81A3,50.81
1124,50.46A5,50.46
1201,54.52C,54.52
1202,55.12D,55.12
1203,56.27E,56.27
1204,62.45H,62.45
1205,56.99E2,56.99
1206,55.17D3,55.17
1207,55.17D1,55.17
1208,56.99E2,56.99
1209,54.77C1,54.77
1210,55.48D4,55.48
1211,56.99E2,56.99
1212,55.17D3,55.17
1213,55.17D1,55.17
1214,58.79F,58.79
1215,62.45H,62.45
1216,59.78G,59.78
1217,56.88E1,56.88
1218,53.04B1,53.04
1219,53.04B,53.04
1220,54.52C,54.52
1221,50.46A,50.46
1222,50.81A2,50.81
1223,50.81A3,50.81
1224,50.46A5,50.46
1301,54.52C,54.52
1302,55.12D,55.12
1303,56.27E,56.27
1304,62.45H,62.45
1305,56.99E2,56.99
1306,55.17D3,55.17
1307,55.17D1,55.17
1308,56.99E2,56.99
1309,54.77C1,54.77
1310,55.48D4,55.48
1311,56.99E2,56.99
1312,55.17D3,55.17
1313,55.17D1,55.17
1314,58.79F,58.79
1315,62.45H,62.45
1316,59.78G1,59.78
1317,56.88E1,56.88
1318,53.04B1,53.04
1319,53.04B,53.04
1320,54.52C,54.52
1321,50.46A,50.46
1322,50.81A2,50.81
1323,50.81A2,50.81
1324,50.46A5,50.46
1401,54.52C,54.52
1402,55.12D,55.12
1403,56.27E,56.27
1404,62.45H,62.45
1405,56.99E2,56.99
1406,55.17D3,55.17
1407,55.17D1,55.17
1408,56.99E2,56.99
1409,54.77C1,54.77
1410,55.48D4,55.48
1411,56.99E2,56.99
1412,55.17D3,55.17
1413,55.17D1,55.17
1414,58.79F,58.79
1415,62.45H,62.45
1416,59.78G,59.78
1417,56.88E1,56.88
1418,53.04B1,53.04
1419,53.04B,53.04
1420,54.52C,54.52
1421,50.46A,50.46
1422,50.81A2,50.81
1423,50.81A2,50.81
1424,50.46A5,50.46
1501,54.52C,54.52
1502,55.12D,55.12
1503,56.27E,56.27
1504,62.45H,62.45
1505,56.99E2,56.99
1506,55.17D3,55.17
1507,55.17D1,55.17
1508,56.99E2,56.99
1509,54.77C1,54.77
1510,55.48D4,55.48
1511,56.99E2,56.99
1512,55.17D3,55.17
1513,55.17D1,55.17
1514,58.79F,58.79
1515,62.45H,62.45
1516,59.78G1,59.78
1517,56.88E1,56.88
1518,53.04B1,53.04
1519,53.04B,53.04
1520,54.52C,54.52
1521,50.46A,50.46
1522,50.81A2,50.81
1523,50.81A2,50.81
1524,50.46A5,50.46
1601,54.52C,54.52
1602,55.12D,55.12
1603,56.27E3,56.27
1604,62.45H,62.45
1605,56.99E2,56.99
1606,55.17D3,55.17
1607,55.17D1,55.17
1608,56.99E2,56.99
1609,54.77C1,54.77
1610,55.48D4,55.48
1611,56.99E2,56.99
1612,55.17D3,55.17
1613,55.17D1,55.17
1614,58.79F,58.79
1615,62.45H,62.45
1616,59.78G1,59.78
1617,56.88E1,56.88
1618,53.04B1,53.04
1619,53.04B,53.04
1620,54.52C,54.52
1621,50.46A,50.46
1622,50.81A2,50.81
1623,50.81A2,50.81
1624,50.46A5,50.46
1701,54.52C,54.52
1702,55.12D,55.12
1703,56.27E3,56.27
1704,62.45H,62.45
1705,56.99E2,56.99
1706,55.17D3,55.17
1707,55.17D1,55.17
1708,56.99E2,56.99
1709,54.77C1,54.77
1710,55.48D4,55.48
1711,56.99E2,56.99
1712,55.17D3,55.17
1713,55.17D1,55.17
1714,58.79F,58.79
1715,62.45H,62.45
1716,59.78G,59.78
1717,56.88E1,56.88
1718,53.04B1,53.04
1719,53.04B,53.04
1720,54.52C,54.52
1721,50.46A,50.46
1722,50.81A2,50.81
1723,50.81A2,50.81
1724,50.46A5,50.46
