dong,ho,type
101,301,28A1
101,302,23A2
101,303,23A3
101,304,23A1
101,305,23A1
101,306,23A1
101,307,23A1
101,308,23A1
101,309,23A3
101,310,26A1
101,311,23A1
101,312,23A1
101,313,23A3
101,314,23A2
101,315,28A1
101,401,
101,402,
101,403,
101,404,
101,405,
101,406,
101,407,
101,408,
101,409,
101,410,
101,411,
101,412,
101,413,
101,414,
101,415,
101,416,
101,417,
102,301,
102,302,
102,303,
102,304,
102,305,
102,306,
102,307,
102,308,
102,309,
102,310,
102,311,
102,312,
102,313,
102,314,
102,315,
102,316,
102,317,
102,318,
102,319,
102,320,
102,321,
102,322,
102,401,
102,402,
102,403,
102,404,
102,405,
102,406,
102,407,
102,408,
102,409,
102,410,
102,411,
102,412,
102,413,
102,414,
102,415,
102,416,
102,417,
102,418,
102,419,
102,420,
102,421,
102,422,
102,423,
102,424,
